"","Account.length","International.plan","Voice.mail.plan","Number.vmail.messages","Total.day.minutes","Total.day.calls","Total.day.charge","Total.eve.minutes","Total.eve.calls","Total.eve.charge","Total.night.minutes","Total.night.calls","Total.night.charge","Total.intl.minutes","Total.intl.calls","Total.intl.charge","Customer.service.calls","Churn"
"715",149,0,0,0,166.6,61,28.32,218.8,107,17.0312157809984,208.3,131,9.37,8.2,6,2.21,1.56590370955012,"0"
"716",73,0,0,0,145.7,90,36.41,196.8,78,17.0312157809984,157.9,112,7.11,5.9,8,1.59,0,"0"
"717",61,0,0,0,260,123,44.2,210.5,127,17.89,234.7,70,10.56,9,3,2.43,1,"1"
"718",161,0,0,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,1.56590370955012,"1"
"719",118,0,1,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,10.2141082164329,2,4.56,1,"0"
"720",23,0,0,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15,4,4.05,1.56590370955012,"0"
"721",127,0,1,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,1.56590370955012,"0"
"722",42,0,1,32,163.8,80,27.85,159.1,123,15.11,190.4,106,8.57,8.1,5,2.19,0,"0"
"723",118,0,0,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,4.480805777271,3.89,1.56590370955012,"1"
"724",45,0,0,0,159.8,91,27.17,120.4,86,10.23,163,93,7.34,10.6,3,2.86,2,"0"
"725",50,0,1,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,"0"
"726",179,0,0,0,173,81,48.84,288,114,24.48,266,112,11.97,10.5,4,2.84,1,"1"
"727",152,0,0,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,1.56590370955012,"0"
"728",105,0,0,0,102.8,74,17.48,127.5,127,23.94,228.1,113,10.26,13.2,5,3.56,2,"0"
"729",72,0,0,0,109.1,97,18.55,115.7,96,9.83,295.8,84,9.03963888888889,8.3,6,2.24,0,"0"
"730",52,0,0,0,215.9,67,36.7,217,144,17.0312157809984,201.866098254162,130,9.03963888888889,5.2,2,1.4,1,"0"
"731",100.896779200621,0,0,0,203.4,91,34.58,128.7,97,10.94,201.866098254162,113,8.57,11,4,2.97,1,"0"
"732",143,0,0,0,110.1,113,18.72,169,59,14.37,166.7,94,7.5,9.2,2,2.48,1,"0"
"733",65,0,0,0,111,51,18.87,219.8,84,18.68,202,89,9.09,4.4,4.480805777271,1.19,1,"0"
"734",80,0,0,0,239.9,121,40.78,142.3,51,12.1,201.866098254162,106,9.03963888888889,9.3,5,2.51,1,"0"
"735",43,0,0,0,215.5,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,"0"
"736",143,0,0,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14,6,3.78,0,"0"
"737",81,0,1,24,130.1,117,22.12,196,61,16.66,139.3,123,6.27,11.4,5,3.08,0,"0"
"738",100.896779200621,0,1,24,175.8,139,29.89,155,98,13.18,180.7,64,8.13,7.8,5,2.11,2,"0"
"739",24,0,0,0,241.9,104,41.12,145.2,112,20.17,214.5,105,9.65,6.6,5,1.78,1,"0"
"740",74,0,0,0,136.7,106,23.24,228.6,115,17.0312157809984,265.3,114,11.94,9.8,4,2.65,0,"0"
"741",74,0,0,0,200.4,87,34.07,200.355623332063,105,26.28,152.1,118,6.84,10,2,2.77319131832797,1,"0"
"742",74,1,0,0,125.8,103,21.39,207.7,96,20.66,207.4,143,9.33,14.1,4,2.77319131832797,1,"1"
"743",200,0,0,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,"0"
"744",86,0,0,0,226.3,97,38.47,223,107,17.0312157809984,255.6,92,11.5,13,3,3.51,1.56590370955012,"0"
"745",91,0,1,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,"0"
"746",130,0,0,0,120.5,127,20.49,288.8,52,16.12,270.1,107,12.15,14.3,2,3.86,1,"0"
"747",56,0,0,0,147.1,90,15.49,179.3,115,15.24,300.7,89,11.84,11.9,8,3.21,2,"0"
"748",117,0,0,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,2.77319131832797,0,"0"
"749",126,0,0,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,"0"
"750",132,0,0,0,191.9,107,32.62,206.9,127,17.59,272,88,9.03963888888889,12.6,2,3.4,1.56590370955012,"0"
"751",81,0,1,28,167.9,147,28.54,190.7,105,16.21,193,103,8.69,9.2,6,2.48,1.56590370955012,"1"
"752",122,0,0,0,180,78,30.6,145,77,17.0312157809984,233.7,120,10.52,11.5,6,3.11,1,"0"
"753",46,0,0,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,"1"
"754",99,0,0,0,159.7,83,27.15,155.4,121,15.34,255.7,114,11.51,8.4,3,2.27,1,"0"
"755",151,0,0,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11,3,2.97,1,"0"
"756",108,0,0,0,103,129,17.51,242.3,103,17.0312157809984,170.2,89,7.66,7.9,3,2.13,1,"0"
"757",53,0,0,0,205.1,86,34.87,160.5,100.174979887369,13.64,149.5,142,6.73,10.7,2,2.89,3,"0"
"758",144,1,0,0,150,69,25.5,285.9,73,10.78,190.6,121,8.58,9.4,4.480805777271,2.54,0,"0"
"759",91,0,1,0,232.4,97,39.51,186,88,15.81,190.5,128,8.57,12.3,3,3.32,3,"0"
"760",58,0,0,0,165.4,100,28.12,115.7,87,9.83,193.8,118,9.03963888888889,12.8,5,3.46,2,"0"
"761",5,0,0,0,127.1,106,33.86,187.3,100.174979887369,15.92,214,85,9.63,13.3,3,3.59,3,"0"
"762",97,0,0,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,"0"
"763",142,0,1,30,154,75,26.18,165.8,97,17.0312157809984,270,83,12.15,10.8,5,2.92,1,"0"
"764",9,0,1,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,"0"
"765",73,0,0,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,"0"
"766",43,0,0,0,230.2,147,39.13,200.355623332063,121,15.87,201.866098254162,100,5.78,9.2,3,2.48,0,"0"
"767",122,0,1,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,"1"
"768",93,0,0,0,190.2,68,32.33,262.2,64,22.29,130,92,5.85,8.8,4,2.38,0,"0"
"769",85,0,0,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,"0"
"770",87,0,0,0,228.7,90,38.88,163,99,13.86,201.866098254162,90,6.93,11.8,3,3.19,1,"0"
"771",137,0,0,0,144,100.082348455966,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,"0"
"772",21,0,1,31,135.9,90,23.1,271,84,23.04,179.1,89,8.06,9.5,7,2.57,1.56590370955012,"0"
"773",104,0,0,0,130.5,77,22.19,131.2,100.174979887369,11.15,264.7,63,11.91,13,6,3.51,0,"0"
"774",93,0,1,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,1.56590370955012,"1"
"775",63,0,0,0,278,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,1.56590370955012,"1"
"776",161,0,0,0,105.4,70,17.92,214.8,122,18.26,201.866098254162,126,10.06,7.8,5,2.11,0,"0"
"777",103,0,1,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1.56590370955012,"0"
"778",84,0,1,33,159.1,106,27.05,149.8,112,12.73,213.4,108,9.6,10.2141082164329,4.480805777271,3.51,1,"0"
"779",92,0,0,0,212.4,116,36.11,224.6,118,19.09,221.3,105,9.96,9,4,2.43,1,"0"
"780",77,0,0,0,142.3,112,30.5681755725191,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,"0"
"781",64,1,0,0,179.567454268293,55,30.5681755725191,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,"1"
"782",159,0,1,15,113.9,110,19.36,145.3,146,12.35,195.2,137,11.29,11.8,9,3.19,1,"0"
"783",110,1,1,27,267.9,103,45.54,263.3,74,22.38,178.1,106,9.03963888888889,8.3,2,2.24,1,"1"
"784",138,0,0,0,171.4,117,29.14,115.2,128,9.79,224.5,100.152015355086,10.1,10.2141082164329,4,2.77319131832797,3,"0"
"785",100.896779200621,0,0,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,"0"
"786",38,0,1,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,"0"
"787",45,0,1,26,91.7,104,15.59,150.6,100.174979887369,12.8,201.866098254162,103,9.03963888888889,7.7,5,2.08,1,"0"
"788",100.896779200621,0,0,0,126.3,99,21.47,141.6,100.174979887369,12.04,255.9,96,11.52,9.6,2,2.59,0,"0"
"789",147,0,1,33,251.5,98,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,"0"
"790",94,0,0,0,190.6,108,32.4,152.3,100.174979887369,12.95,144.7,97,6.51,7.5,5,2.03,1,"0"
"791",179,0,0,0,116.1,101,19.74,201.8,115,17.15,181.9,103,8.19,11.6,5,3.13,0,"0"
"792",59,0,0,0,179.4,80,30.5,232.5,108,19.76,175.8,105,7.91,14.7,3,3.97,0,"0"
"793",165,0,0,0,248.6,109,35.31,164.8,100.174979887369,14.01,201.866098254162,100.152015355086,9.03963888888889,7.9,3,2.13,0,"0"
"794",133,0,0,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,"1"
"795",140,0,0,0,125.3,84,32.86,167.6,121,22.23,260.6,119,11.73,8.4,4,2.27,1,"0"
"796",93,0,1,0,138.1,91,23.48,167.3,72,17.0312157809984,238.9,115,10.75,6.8,3,1.84,2,"0"
"797",64,0,1,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,"0"
"798",48,0,0,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6,8.3,4,2.24,2,"0"
"799",181,0,0,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6,7,1.62,1,"0"
"800",168,0,1,42,97.4,57,16.56,203.6,98,17.31,173.9,100.152015355086,7.83,10.2141082164329,2,3.08,2,"0"
"801",155,0,0,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,"0"
"802",59,0,0,0,143.4,130,24.38,289.4,100.174979887369,24.6,194,100,8.73,9.7,6,2.62,2,"0"
"803",182,0,0,0,104.9,111,30.5681755725191,198.5,120,16.87,258.2,91,11.62,8,5,2.16,2,"0"
"804",102,0,0,0,114.8,125,19.52,81.9,100.174979887369,6.96,304.3,101,13.69,12,4,3.24,0,"0"
"805",122,0,0,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,"0"
"806",41,0,0,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,"0"
"807",132,0,0,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,3,2.46,2,"0"
"808",76,0,0,8.07234042553191,240,94,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,"1"
"809",115,0,1,33,145,72,24.65,194.5,100.174979887369,19,242.3,138,10.9,14.2,3,3.83,2,"0"
"810",154,0,0,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,2.77319131832797,0,"0"
"811",100,0,0,0,142.5,87,24.23,195.4,88,16.63,122.1,117,5.49,7.8,8,2.11,2,"0"
"812",146,1,0,0,133,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,"0"
"813",67,0,1,28,95,94,16.15,233.4,73,24.75,159.6,114,7.18,10,2,2.7,2,"0"
"814",161,1,0,0,68.5,106,33.01,249.4,105,17.0312157809984,254.9,100.152015355086,11.47,12.9,1,3.48,1,"1"
"815",70,0,0,0,222.8,114,37.88,215.9,113,18.35,201.866098254162,122,10.06,10.2141082164329,0,2.77319131832797,1,"0"
"816",99,0,1,42,216,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2,"1"
"817",87,0,0,24,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,"0"
"818",87,0,0,0,234.8,85,39.92,140.9,95,11.98,204.3,93,9.19,10.2141082164329,5,2.57,1,"0"
"819",70,0,0,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,"0"
"820",119,0,1,32,142.6,77,24.24,208.2,126,17.7,171,102,7.69,12,2,3.24,3,"0"
"821",87,1,0,0,134.2,80,22.81,165,71,14.03,201.866098254162,102,7.79,11.6,5,2.89,0,"0"
"822",112,0,0,0,111.9,92,19.02,114,143,9.69,201.866098254162,79,6.61,14.1,3,3.81,1.56590370955012,"1"
"823",75,0,0,0,122.8,89,20.88,211.3,104,17.0312157809984,261.4,91,11.76,10.7,2,2.89,2,"0"
"824",150,0,0,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,1.56590370955012,"0"
"825",161,0,1,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,"0"
"826",91,1,1,24,93.5,124,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.77319131832797,0,"0"
"827",124,0,0,0,158.6,104,26.96,211.2,77,17.95,201.866098254162,104,8.07,10.2,8,2.75,3,"0"
"828",158,0,0,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,"0"
"829",102,0,0,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,"0"
"830",85,0,0,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,"0"
"831",100.896779200621,0,0,0,147,72,24.99,165.7,102,14.08,243.2,107,10.94,10.2141082164329,9,2.27,1,"0"
"832",139,0,1,25,96.2,112,16.35,178.9,100.174979887369,15.21,182.1,84,8.19,10.2141082164329,10,3.48,2,"0"
"833",103,0,0,0,263.4,118,44.78,215.5,79,15.22,214.7,112,9.03963888888889,10.3,2,2.78,0,"0"
"834",98,1,0,0,179.567454268293,67,30.5681755725191,256.6,100.174979887369,21.81,169.4,88,7.62,7.7,9,2.08,1,"0"
"835",78,0,0,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,"0"
"836",50,0,0,0,183.6,107,31.21,200.355623332063,107,17.0312157809984,202.6,99,9.12,8.7,3,2.77319131832797,1,"0"
"837",86,0,1,38,123,100.082348455966,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,"0"
"838",92,0,0,0,179.567454268293,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.77319131832797,0,"0"
"839",174,0,0,0,239.2,72,40.66,188.5,124,16.02,201.866098254162,116,9.03963888888889,8.8,3,2.38,1,"0"
"840",124,0,0,0,193,97,32.81,89.8,99,7.63,201.866098254162,104,7.78,15.3,3,4.13,1.56590370955012,"0"
"841",190,0,1,26,116.7,71,19.84,200.355623332063,88,12.4,175.1,103,9.03963888888889,9.9,3,2.67,1,"0"
"842",101,0,0,0,93.8,142,15.95,150,104,16.68,201.866098254162,116,10.85,10.7,2,2.89,1,"0"
"843",185,1,1,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,"0"
"844",68,0,1,29,239.5,82,40.72,203.8,105,17.32,201.866098254162,70,7.55,9.9,6,2.67,0,"0"
"845",117,0,1,25,216,140,36.72,224.1,69,19.05,267.9,112,10.47,11.8,4,3.19,1.56590370955012,"0"
"846",118,0,0,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1,"0"
"847",124,0,0,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,"0"
"848",22,0,0,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,10.2141082164329,4.480805777271,3.38,1,"0"
"849",75,0,0,0,143.2,92,24.34,209.1,142,17.77,201.866098254162,96,7.79,11.9,9,3.21,1,"0"
"850",164,0,1,25,219.1,88,37.25,151.5,99,12.88,201.866098254162,60,9.03963888888889,14.3,6,2.77319131832797,1,"0"
"851",100.896779200621,0,0,0,232.8,106,30.5681755725191,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,"0"
"852",100.896779200621,0,0,0,162,81,27.54,247.5,89,21.04,155.5,99,9.03963888888889,8.9,8,2.4,0,"0"
"853",158,0,0,0,209.9,112,35.68,221.3,100.174979887369,18.81,210,93,9.45,8.2,3,2.21,1,"0"
"854",114,0,0,0,191.5,88,30.5681755725191,175.2,100.174979887369,14.89,220.3,118,9.91,10.2141082164329,0,2.77319131832797,0,"0"
"855",64,0,1,19,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,"0"
"856",111,0,0,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,"0"
"857",60,0,0,0,252.7,91,42.96,221.1,121,18.44,201.866098254162,100,4.95,12.4,4,3.35,2,"0"
"858",113,0,0,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,10.2141082164329,6,3.27,3,"0"
"859",109,0,0,0,217,115,36.89,207,142,17.6,268,106,9.03963888888889,8.2,4,2.21,1,"0"
"860",119,0,1,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,"0"
"861",85,0,0,0,211.5,100,23.73,184.6,88,17.0312157809984,164.3,131,7.39,13.3,4,3.59,2,"0"
"862",131,0,0,0,153.4,100.082348455966,26.08,198.5,81,16.87,201.866098254162,83,7.4,10.4,3,2.81,0,"0"
"863",59,0,0,0,166.3,95,28.27,239.3,87,20.34,123.2,108,5.54,10,3,2.7,0,"0"
"864",148,0,0,0,185.2,87,31.48,170.4,100.174979887369,14.48,165.1,104,7.43,9.5,4.480805777271,2.57,1,"0"
"865",100.896779200621,0,0,0,104.6,121,17.78,221.8,71,12.71,255.1,67,11.48,6.5,8,1.76,2,"0"
"866",106,0,0,0,274.4,120,46.65,198.6,82,16.88,160.8,62,10.82,10.2141082164329,3,1.62,1,"0"
"867",57,0,1,29,279.9,121,47.58,223.1,109,18.66,251.7,94,11.33,13,7,2.77319131832797,1,"0"
"868",98,0,0,8.07234042553191,187.2,127,31.82,160.7,88,16.63,181.8,129,8.18,5.1,4,1.38,1.56590370955012,"0"
"869",157,0,0,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,10.2141082164329,4,2.77319131832797,3,"0"
"870",116,0,1,0,200.4,104,34.07,272.8,89,23.19,214.5,118,9.65,7.6,4,2.24,1,"0"
"871",30,0,0,0,162.3,96,27.59,244,122,20.74,180.1,89,8.1,9.1,4,2.46,2,"0"
"872",111,0,0,0,176.9,128,30.07,102.8,56,24.68,201.866098254162,84,9.62,10.5,2,2.84,1.56590370955012,"1"
"873",52,0,0,0,85.7,78,28.14,205.5,100.174979887369,17.47,201.866098254162,124,9.61,12.2,6,3.29,0,"0"
"874",135,0,1,28,201.4,100,34.24,246.5,70,20.95,154.8,131,6.97,12.9,4,2.77319131832797,2,"1"
"875",86,0,0,0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3,"0"
"876",151,0,0,0,235.9,104,40.1,220,91,6.85,212.8,116,9.58,5.8,2,1.57,3,"1"
"877",117,0,0,0,144.6,115,24.58,258.8,121,22,253.2,113,11.39,7.4,9,2,2,"0"
"878",82,0,0,0,101,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,"0"
"879",152,0,0,0,206.3,117,35.07,292.8,82,24.89,201.866098254162,121,9.03963888888889,10.6,4,2.86,1,"0"
"880",108,0,1,15,165.1,85,28.07,267,93,22.7,160.5,114,11.28,10.9,4,2.94,1,"0"
"881",98,0,0,0,165,129,28.05,202.6,100.174979887369,17.22,172.3,94,7.75,12.5,7,3.38,1,"0"
"882",47,0,0,0,155.3,116,26.4,188.2,85,16,247,73,11.12,10.2141082164329,2,3.32,1.56590370955012,"0"
"883",189,0,0,0,208.3,106,35.41,236.7,105,20.12,179.1,120,8.06,11.3,5,3.05,3,"0"
"884",159,0,0,0,189.1,105,32.15,246.1,147,20.92,242,106,10.89,10.4,5,2.81,1,"1"
"885",11,0,1,24,131.5,98,22.36,230.2,100.174979887369,19.57,283.7,87,12.77,10,3,2.7,2,"0"
"886",111,0,0,0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2,"0"
"887",99,0,1,19,87.7,103,14.91,223,86,18.96,182.3,112,8.2,7.3,4,1.97,2,"0"
"888",114,1,1,31,174.5,104,29.67,224.2,92,19.06,116.3,91,5.23,12.3,10,3.32,2,"0"
"889",71,0,0,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9,2,2.77319131832797,2,"0"
"890",100,0,1,25,246.6,94,30.5681755725191,141.4,112,12.02,189.8,109,8.54,13,5,3.51,1.56590370955012,"0"
"891",83,0,1,37,78.5,80,13.35,210.5,101,17.0312157809984,179.7,102,8.09,11.8,4,3.19,1,"0"
"892",64,0,0,0,148.1,73,25.18,275.5,101,14.02,216,102,9.72,12.3,2,3.32,1.56590370955012,"1"
"893",105,0,0,0,206.2,84,35.05,256.4,138,21.79,117.1,91,5.27,9,3,2.43,1,"0"
"894",144,0,1,33,251.6,87,40.24,197.6,118,16.8,201.866098254162,109,9.41,12.2,3,3.29,2,"0"
"895",106,1,1,26,270.3,111,45.95,199.6,90,18.29,254,133,11.43,14.4,7,2.77319131832797,1,"1"
"896",19,0,1,34,179.8,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,5,3.05,1,"0"
"897",46,0,0,8.07234042553191,139.4,81,23.7,223.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1,"0"
"898",127,0,0,8.07234042553191,220.2,108,37.43,188.4,124,16.01,172.7,113,7.77,11.7,3,2.77319131832797,2,"0"
"899",9,0,1,0,214.1,108,36.4,169.2,115,14.38,189.7,117,8.54,10.1,3,2.73,1,"0"
"900",157,0,0,0,196,74,33.32,213.4,96,18.14,196.8,81,8.86,7.9,6,2.13,1,"0"
"901",105,0,0,0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,1.56590370955012,"1"
"902",31,0,0,0,177.3,129,30.14,152.8,105,12.99,162.9,92,7.33,5.1,2,2.77319131832797,0,"0"
"903",95,0,1,32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,"0"
"904",132,0,0,0,193.3,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,1.56590370955012,"1"
"905",119,0,1,24,217.2,94,36.92,138.7,52,11.79,139.3,85,6.27,11.3,4,3.05,0,"0"
"906",16,0,0,0,209.5,89,35.62,172.8,100,14.69,94.1,102,4.23,8.8,4,2.38,1,"0"
"907",99,0,0,0,179.567454268293,105,16.22,207.2,101,17.61,136,117,9.03963888888889,10.2141082164329,5,1.51,1,"0"
"908",76,0,1,26,214.6,100.082348455966,36.48,205.2,87,17.44,134.6,140,6.06,8.1,2,2.19,1,"1"
"909",167,0,0,0,131.6,120,22.37,211.3,96,17.96,168.3,97,7.57,11.1,4,3,1.56590370955012,"1"
"910",129,0,0,0,168.4,117,28.63,217.1,129,18.45,81.6,100,10.06,11.8,7,3.19,1.56590370955012,"0"
"911",117,0,0,0,146.4,123,24.89,176.6,100.174979887369,15.01,212.6,102,9.57,7.8,5,2.11,1,"0"
"912",60,1,0,0,183,110,31.11,206.7,93,17.0312157809984,203.8,119,9.17,11.1,6,3,1,"0"
"913",47,0,1,28,112.2,70,19.07,154.8,106,13.16,166.7,105,7.5,10.6,2,2.86,0,"0"
"914",186,1,0,8.07234042553191,170.7,55,29.02,179.1,108,26.28,281.9,89,12.69,8.2,9,2.21,3,"0"
"915",173,0,0,0,172.5,78,29.33,142.6,91,12.12,102,63,4.59,10.9,2,2.94,0,"0"
"916",100.896779200621,0,1,30,194.3,107,33.03,243.2,108,20.67,322.2,114,14.5,7.1,5,1.92,1,"0"
"917",66,0,1,32,187.8,117,31.93,129.8,90,11.03,178.4,113,5.95,12,3,3.24,2,"0"
"918",50,1,1,26,307.1,94,52.21,289.4,78,24.6,174.9,109,7.87,8,3,2.16,0,"0"
"919",72,0,0,0,118.2,106,20.09,167.2,136,14.21,214.2,106,9.03963888888889,12.2,3,3.29,3,"0"
"920",130,0,0,0,154,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,"0"
"921",143,0,0,0,155.5,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,4.480805777271,2.05,1,"0"
"922",32,0,0,0,157.9,88,26.84,180.8,132,17.0312157809984,132.5,102,5.96,12.8,3,3.46,1,"0"
"923",100.896779200621,0,0,0,203.4,81,34.58,167.7,110,14.25,201.866098254162,124,5.94,9.2,5,2.48,2,"0"
"924",141,0,1,39,92.8,98,15.78,271.2,115,23.05,201.866098254162,83,7.52,5.8,7,1.57,1,"0"
"925",134,0,1,32,216.8,78,36.86,102.2,111,8.69,201.866098254162,83,7.83,8.6,2,2.32,0,"0"
"926",13,0,0,0,193.2,89,32.84,194.4,90,16.52,186.5,104,8.39,9.7,2,2.62,1.56590370955012,"0"
"927",90,0,0,0,113.2,108,19.24,189.3,63,16.09,201.866098254162,124,12.23,14.1,4,3.81,3,"0"
"928",111,0,1,36,166.2,54,28.25,152,109,20.3,108.8,92,4.9,11.2,2,3.02,3,"0"
"929",101,0,1,23,262.2,101,44.57,157,80,13.35,201.866098254162,100,5.81,7.3,4.480805777271,1.97,1,"0"
"930",72,0,0,0,207.8,92,35.33,195.7,110,16.63,184.8,124,8.32,13.1,4,3.54,0,"0"
"931",67,0,1,35,245.4,89,41.72,148.2,102,12.6,274,136,12.33,7.5,6,2.03,1,"0"
"932",172,0,0,0,287.1,108,48.81,178.4,125,15.16,311.6,106,6.89,14.4,4,2.77319131832797,3,"1"
"933",154,0,1,32,192.3,82,32.69,165.3,134,14.05,205,74,9.23,9,1,2.43,2,"0"
"934",69,0,0,0,194.2,122,33.01,242.1,121,22.03,215.8,107,9.71,9.7,3,2.62,1.56590370955012,"0"
"935",123,0,0,0,211,92,35.87,217,102,18.45,214.8,121,9.67,9.8,7,2.65,3,"0"
"936",130,0,1,12,141.9,92,24.12,288.4,102,19.46,195.1,101,8.78,8.7,5,2.35,0,"0"
"937",142,0,1,26,220.5,94,37.49,239.5,126,20.36,254.3,109,11.44,5.9,9,1.59,2,"0"
"938",72,0,1,28,175.2,106,24.4,223.5,147,19,245.5,69,7.89,11.2,5,3.02,0,"0"
"939",149,0,0,0,156,56,26.52,200.355623332063,116,17.0312157809984,163.3,104,7.35,10.2141082164329,8,2.4,0,"0"
"940",146,1,0,0,160.1,63,27.22,208.4,112,17.71,177.6,98,7.99,10.2141082164329,3,2.77319131832797,2,"0"
"941",88,1,0,0,235.1,98,39.97,251.8,79,21.4,285.9,76,9.03963888888889,7.2,2,1.94,1.56590370955012,"1"
"942",133,0,0,0,188.4,63,32.03,165.9,89,14.1,205.7,71,9.26,10.2141082164329,4.480805777271,3.56,1,"0"
"943",100.896779200621,0,0,0,194.8,97,33.12,235.3,118,20,145.1,126,7.85,11,3,2.97,1,"0"
"944",100,0,0,0,247.8,117,42.13,130,100.174979887369,11.05,134.3,125,6.04,6.9,2,1.86,1,"0"
